Vdd ,Vs:p (A)
0.000,9.927E-12
10.00E-3,12.64E-12
20.00E-3,16.17E-12
30.00E-3,20.77E-12
40.00E-3,26.77E-12
50.00E-3,34.59E-12
60.00E-3,44.78E-12
70.00E-3,58.05E-12
80.00E-3,75.33E-12
90.00E-3,97.85E-12
100.0E-3,127.2E-12
110.0E-3,165.3E-12
120.0E-3,215.0E-12
130.0E-3,279.7E-12
140.0E-3,363.8E-12
150.0E-3,473.3E-12
160.0E-3,615.6E-12
170.0E-3,800.5E-12
180.0E-3,1.041E-9
190.0E-3,1.353E-9
200.0E-3,1.757E-9
210.0E-3,2.282E-9
220.0E-3,2.963E-9
230.0E-3,3.844E-9
240.0E-3,4.984E-9
250.0E-3,6.457E-9
260.0E-3,8.359E-9
270.0E-3,10.81E-9
280.0E-3,13.97E-9
290.0E-3,18.03E-9
300.0E-3,23.24E-9
310.0E-3,29.91E-9
320.0E-3,38.44E-9
330.0E-3,49.32E-9
340.0E-3,63.17E-9
350.0E-3,80.74E-9
360.0E-3,103.0E-9
370.0E-3,131.0E-9
380.0E-3,166.4E-9
390.0E-3,210.7E-9
400.0E-3,266.0E-9
410.0E-3,335.0E-9
420.0E-3,420.7E-9
430.0E-3,526.7E-9
440.0E-3,657.5E-9
450.0E-3,818.1E-9
460.0E-3,1.015E-6
470.0E-3,1.255E-6
480.0E-3,1.547E-6
490.0E-3,1.901E-6
500.0E-3,2.327E-6
510.0E-3,2.839E-6
520.0E-3,3.451E-6
530.0E-3,4.178E-6
540.0E-3,5.037E-6
550.0E-3,6.044E-6
560.0E-3,7.218E-6
570.0E-3,8.575E-6
580.0E-3,10.13E-6
590.0E-3,11.90E-6
600.0E-3,13.91E-6
610.0E-3,16.14E-6
620.0E-3,18.63E-6
630.0E-3,21.37E-6
640.0E-3,24.36E-6
650.0E-3,27.60E-6
660.0E-3,31.09E-6
670.0E-3,34.82E-6
680.0E-3,38.78E-6
690.0E-3,42.97E-6
700.0E-3,47.36E-6
710.0E-3,51.95E-6
720.0E-3,56.73E-6
730.0E-3,61.68E-6
740.0E-3,66.80E-6
750.0E-3,72.05E-6
760.0E-3,77.45E-6
770.0E-3,82.96E-6
780.0E-3,88.59E-6
790.0E-3,94.33E-6
800.0E-3,100.2E-6
810.0E-3,106.1E-6
820.0E-3,112.1E-6
830.0E-3,118.1E-6
840.0E-3,124.2E-6
850.0E-3,130.4E-6
860.0E-3,136.7E-6
870.0E-3,143.0E-6
880.0E-3,149.3E-6
890.0E-3,155.7E-6
900.0E-3,162.1E-6
910.0E-3,168.5E-6
920.0E-3,175.0E-6
930.0E-3,181.5E-6
940.0E-3,188.0E-6
950.0E-3,194.6E-6
960.0E-3,201.2E-6
970.0E-3,207.8E-6
980.0E-3,214.4E-6
990.0E-3,221.0E-6
1.000,227.7E-6
